source_id,source_layer,platform,source_type,title,author_org,published_at,collected_at,url,query_id,access_status,evidence_form,evidence_grade,notes_file,query,legacy_source_layer
OFF-001,official,国家互联网信息办公室算法备案系统,官方算法备案,小红书个性化推荐算法备案信息（公示附件）,行吟信息科技（上海）有限公司,,2026-07-16,https://beian.cac.gov.cn/api/static/fileUpload/principalOrithm/additional/user_c015445c-80ac-45f7-94d7-3871e961b1fe_d4425f3b-7f35-45af-b8d4-badd4424d6d5.pdf,Q-WEB-001,full,官方 PDF，2 页；直接描述算法用途、输入数据类型和干预策略,A,notes/official-and-academic.md,小红书 算法备案 个性化推荐,official_and_rules
OFF-002,official,小红书,官方活动规则,小红书「现场」主题规范,小红书,,2026-07-16,https://top.xiaohongshu.com/fe/toph5/rules/subject,Q-WEB-002,full,官方网页；可直接观察主题活动的投稿规范,A,notes/official-and-academic.md,site:xiaohongshu.com 小红书 社区规范 色情 性暗示,official_and_rules
OFF-003,official,小红书,官方产品文档,小红书 Deeplink：搜索相关参数与来源枚举,小红书,,2026-07-16,https://pages.xiaohongshu.com/activity/deeplink,Q-WEB-003,full,官方技术文档；列出搜索对象、搜索词来源、筛选方式等产品参数,A,notes/official-and-academic.md,site:xiaohongshu.com 搜索 search_source deeplink,official_and_rules
OFF-004,official,小红书聚光平台,官方专业号规则,专业号规则规范,小红书聚光平台,2026-06-08,2026-07-16,https://ad.xiaohongshu.com/next_help/docs/195c5fe505c71b4b0335a2fe0d61d8e0,Q-WEB-004;Q-WEB-018,full,官方帮助页；禁止认证行业表把生殖健康药物/用剂/私处紧致及性玩具列为禁入，同时注记情趣用品、计生用品为普通行业准入,A,notes/official-and-academic.md,site:ad.xiaohongshu.com 成人用品 情趣用品 准入,official_and_rules
OFF-005,official,小红书蒲公英,官方商业合作规则,内容审核规范,小红书蒲公英,2026-07-15,2026-07-16,https://pgy.xiaohongshu.com/help/detail?id=6495c527d1eedeeb48fb18b1f875650e&userType=4,Q-WEB-005;Q-WEB-010;Q-WEB-017,full,官方帮助页正文；检索索引曾显示 2026-06-12，2026-07-16 复核页面已更新为 2026-07-15；含低价值内容、模板故事营销、色情低俗、导流和商业体验,A,notes/official-and-academic.md,site:pgy.xiaohongshu.com 成人用品 商业笔记 审核,official_and_rules
OFF-006,official,小红书,官方商家规则,小红书商家资质入驻要求,小红书,,2026-07-16,https://picasso-static.xiaohongshu.com/test/8b3bc7324ca06fceea379177f9eed1fa/%E5%B0%8F%E7%BA%A2%E4%B9%A6%E8%B5%84%E8%B4%A8%E5%85%A5%E9%A9%BB%E8%A6%81%E6%B1%82.pdf,Q-WEB-006,full,官方 PDF；类目表中包含成人/情趣/计生用品，表格归属仍需结合列标题谨慎解读,A,notes/official-and-academic.md,小红书 资质入驻要求 成人 情趣 计生用品 PDF,official_and_rules
ACA-001,academic,CNKI,硕士学位论文,小红书用户信息搜索行为研究,张宁昕（天津体育学院）,2025,2026-07-16,https://cnki.istiz.org.cn/kcms/detail/detail.aspx?dbcode=CMFD&dbname=CMFD2026&filename=1025647174.nh,Q-WEB-007,full,25 名用户访谈与扎根理论；摘要和元数据可核验,B,notes/official-and-academic.md,小红书 搜索 行为 关键词 推荐 学位论文,engineering_and_academic
ACA-002,academic,财经研究/上海财经大学期刊平台,学术期刊论文,“生意是生活的意义”吗？内容平台价值创造与价值捕获的对齐——小红书2013—2023年纵向案例研究,江积海；庞瑶涵,2025-09,2026-07-16,https://qks.sufe.edu.cn/J/PDFFull/A0hffWK2cu-pztJ-Ei7J-xH7B-3ntYHcMFh96y.pdf,Q-WEB-008,full,纵向单案例研究；七类公开/调研/访谈资料三角验证，但文中的精确算法公式未标注为官方技术披露,B,notes/official-and-academic.md,小红书 CES 流量池 算法 论文,engineering_and_academic
TECH-001,engineering,GitHub,公开技术课件,小红书的推荐系统,王树森（课件署名邮箱域名为 xiaohongshu.com）,2022-04-13,2026-07-16,https://raw.githubusercontent.com/wangshusen/RecommenderSystem/main/Slides/01_Basics_01.pdf,Q-WEB-009;Q-GH-001,full,10 页公开课件；给出曝光—点击—读完/互动漏斗及消费指标定义，未给排序权重,A,notes/official-and-academic.md,王树森 小红书 推荐系统 Slides,engineering_and_academic
OFF-007,official,小红书,官方社区规范,小红书社区规范,小红书,2021-12-17,2026-07-16,https://agree.xiaohongshu.com/h5/terms/ZXXY20221213003/-1,Q-WEB-010,full,登录态内置浏览器读取官方现行链接；明确色情低俗、情色小说、虚假体验、机器批量发布、导流及处置规则,A,notes/official-and-academic.md,小红书 社区规范 官方,official_and_rules
OFF-008,official,小红书,官方产品规则,热议榜单规则说明,小红书,,2026-07-16,https://fe.xiaohongshu.com/ditto/vincent/b9ca419956094c3aafaa7c2354aff1c8?fullscreen=true&naviHidden=yes&source=wowcard,Q-WEB-011,full,官方网页；说明热议话题池、发布/消费热度、安全标准、个性化筛选和小时更新,A,notes/official-and-academic.md,小红书 热议话题 规则 个性化,official_and_rules
OFF-009,official,小红书,官方产品规则,热点榜单规则说明,小红书,,2026-07-16,https://fe.xiaohongshu.com/ditto/vincent/c45978d1a53d4dec963167ebd6f1802e?fullscreen=true&naviHidden=yes,Q-WEB-012,full,官方网页；说明热点词条由搜索、传播、互动和榜单点击率综合计算，分钟级更新,A,notes/official-and-academic.md,小红书 热点榜单 排序规则,official_and_rules
REP-001,industry,研究报告,平台联合研究报告,2024小红书10大搜索趋势洞察报告,小红书；DT商业观察,2024-08,2026-07-16,https://aigc.idigital.com.cn/djyanbao/%E3%80%90DT%E7%A0%94%E7%A9%B6%E9%99%A2%2C%E7%AC%AC%E4%B8%80%E8%B4%A2%E7%BB%8F%E7%A0%94%E7%A9%B6%E9%99%A2%E3%80%912024%E5%B0%8F%E7%BA%A2%E4%B9%A610%E5%A4%A7%E6%90%9C%E7%B4%A2%E8%B6%8B%E5%8A%BF%E6%B4%9E%E5%AF%9F%E6%8A%A5%E5%91%8A-2024-08-07.pdf,Q-WEB-013,full,15 页报告镜像；末页标注小红书与 DT 商业观察出品，基于 2024 上半年站内搜索内容,B,notes/industry-web.md,2024小红书十大搜索趋势洞察,wechat_zhihu_industry
TECH-002,engineering,arXiv/KDD,小红书搜索工程论文,Optimizing Generative Ranking Relevance via Reinforcement Learning in Xiaohongshu Search,Ziyang Zeng 等；多名 Xiaohongshu Inc. 作者,2025-12-29,2026-07-16,https://arxiv.org/html/2512.00968v2,Q-WEB-014,full,KDD 2026 ADS Track 已接收；工业搜索数据、人工标注、离线实验与线上 A/B 测试,A,notes/official-and-academic.md,Xiaohongshu search ranking relevance KDD,engineering_and_academic
TECH-003,engineering,arXiv,小红书推荐工程预印本,IDProxy: Cold-Start CTR Prediction for Ads and Recommendation at Xiaohongshu with Multimodal LLMs,Yubin Zhang 等；小红书/上海交大/复旦,2026-03-02,2026-07-16,https://arxiv.org/html/2603.01590v1,Q-WEB-015,full,预印本、尚在审稿；作者披露生产部署和百万用户在线 A/B 测试，覆盖 Explore Feed 内容流与广告,A,notes/official-and-academic.md,Xiaohongshu cold start recommendation multimodal CTR,engineering_and_academic
ACA-003,academic,arXiv,混合方法研究,Hashtag Re-Appropriation for Audience Control on Recommendation-Driven Social Media Xiaohongshu (rednote),Ruyuan Wan 等,2025-01-30,2026-07-16,https://arxiv.org/abs/2501.18210,Q-WEB-016,full,分析 5800 篇帖子并访谈 24 名活跃用户；研究用户如何借标签尝试控制受众,B,notes/official-and-academic.md,Xiaohongshu hashtag audience control mixed methods,engineering_and_academic
OFF-010,official,小红书蒲公英,官方社区公约,小红书社区公约2.0,小红书蒲公英,2026-06-23,2026-07-16,https://pgy.xiaohongshu.com/help/detail?id=1eda0a065dd894063c2e029a49e8f6a1&userType=4,Q-OFF-001,full,官方原文；公约版本于 2026-01-19 上线，页面后续更新；涵盖真实原创、AI 标注、虚假人设、身体/性议题和平台交易工具,A,notes/official-and-academic.md,小红书社区公约2.0 AI 虚假情感经历 性别平等,official_and_rules
MED-001,industry,中国日报网,权威媒体报道,小红书上线社区公约2.0 明确提出“反对制造对立”,中国日报网,2026-01-20,2026-07-16,https://cn.chinadaily.com.cn/a/202601/20/WS696eef27a310942cc499bf9f.html,Q-OFF-001,full,交叉验证公约上线日期、三板块 25 条倡导及 AI 标注/虚假人设等变化；不能代替规则原文,B,notes/industry-web.md,小红书 社区公约2.0 上线,wechat_zhihu_industry
OFF-011,official,小红书蒲公英,官方治理公告,关于虚假、低差营销行为的治理公告,小红书蒲公英,2026-05-29,2026-07-16,https://pgy.xiaohongshu.com/help/detail?id=a76a1444fd620a8f78d662829ae736a0&userType=4,Q-OFF-002,full,官方原文；列举虚构故事、伪造测评、标题党、模板同质等，并披露仅个人/粉丝可见及限制流量等处置,A,notes/official-and-academic.md,小红书 虚假 低差 营销 治理 限制流量,official_and_rules
OFF-012,official,小红书蒲公英,官方商业治理规则,小红书低差营销治理规则,小红书蒲公英,2026-06-05,2026-07-16,https://pgy.xiaohongshu.com/help/detail?id=bca8cfe9df181853ae4dfe8216299a3b&userType=4,Q-OFF-002,full,官方原文；虚假评价、生硬创作、低劣画风可能无法发布、投放或使用薯条,A,notes/official-and-academic.md,小红书 低差营销 治理规则,official_and_rules
OFF-013,official,小红书蒲公英,官方反作弊规则,流量作弊界定,小红书蒲公英,2026-06-23,2026-07-16,https://pgy.xiaohongshu.com/help/detail?id=8a21bcdf150457ddc168c4cc4b326156&userType=4,Q-OFF-003,full,官方原文；区分真实用户连续点赞与假账号、互粉互赞、红包诱导、买量水军等作弊,A,notes/official-and-academic.md,小红书 连续点赞 限流 流量作弊 互赞,official_and_rules
OFF-014,official,小红书蒲公英,官方作者规则,作者健康等级规范,小红书蒲公英,2026-03-25,2026-07-16,https://pgy.xiaohongshu.com/help/detail?id=1e77b1987d1646def00d556d9879f19f&userType=4,Q-OFF-003,full,官方原文；异常限制蒲公英接单及蒲公英内曝光，FAQ 明确不影响小红书 App 内笔记曝光/推荐,A,notes/official-and-academic.md,小红书 蒲公英 作者健康等级 主站曝光,official_and_rules
OFF-015,official,小红书蒲公英,官方导流规则,蒲公英导流规则,小红书蒲公英,2026-06-05,2026-07-16,https://pgy.xiaohongshu.com/help/detail?id=d2027d1aa0ed8b75e76da4c2ca762e2d&userType=4,Q-OFF-003,full,2025-10-13 生效；页面 2026-06-05 更新；禁二维码/联系方式以及看主页、dd、看置顶等间接导流,A,notes/official-and-academic.md,小红书 蒲公英 导流规则 看主页 dd 置顶,official_and_rules
OFF-016,official,上海市文化和旅游局/小红书,企业官方报告,小红书社会责任报告,行吟信息科技（上海）有限公司,2025-11-26,2026-07-16,https://whlyj.sh.gov.cn/cmsres/9e/9e992bffa7294a87ab39bbd394c7298d/68422e9020c521e1ac3bbb2b06ceadb9.pdf,Q-OFF-004,full,官方报告镜像；披露天眼风险治理、嫌疑账号无感限流、涉黄扩展、真诚分与普通/长尾创作者扶持,A,notes/official-and-academic.md,小红书 社会责任报告 天眼 无感限流 真诚分,official_and_rules
