claim_id,category,claim_text,source_ids,counter_source_ids,evidence_grade,claim_status,scope,confidence_reason,skill_action,last_verified_at,verification_class
CLM-REC-001,recommendation,"小红书个性化推荐会使用笔记内容数据和用户互动行为数据进行推荐。",OFF-001,,A,confirmed,"算法备案所述个性化笔记推荐场景","官方算法备案直接说明；未公开具体特征、模型或权重","Skill 可把内容与互动信号列为已确认的数据类型，但不得编造权重",2026-07-16,mechanism_evidence
CLM-REC-002,recommendation,"推荐系统存在去重、打散/多样化和兴趣探索类干预。",OFF-001,,A,confirmed,"算法备案所述个性化笔记推荐场景","官方备案直接列出干预策略；无法据此推断创作者端具体操作方法","Skill 将其用于反对单一内容无限复制和过窄样本外推，不写成流量公式",2026-07-16,mechanism_evidence
CLM-REC-003,recommendation,"CES 权重固定为点赞×1、收藏×1、评论×4、分享×4、关注×8，并据此逐级进入流量池。",ACA-002,OFF-001,D,unknown,"行业流传的小红书推荐解释；当前时点和所有类目均未获官方确认","论文确实呈现该公式，但图表来源仅为调研与访谈整理；官方算法备案只确认数据类型，不确认公式或流量池阶梯","禁止在 Skill 中作为事实或优化目标；仅列为待验证的算法传言",2026-07-16,mechanism_evidence
CLM-SEARCH-001,search,"小红书产品存在笔记、商品和用户等搜索目标，并区分普通输入、历史词、热词、推荐词、联想词等多种查询来源。",OFF-003,,A,confirmed,"官方 Deeplink 文档所覆盖的产品路由参数","官方技术文档直接列举搜索对象和来源；不等同于排名规则","Skill 的查询树和检索日志应记录目标类型、搜索词来源及筛选条件",2026-07-16,mechanism_evidence
CLM-SEARCH-002,search,"用户的信息搜索既可能使用精确关键词组合，也可能从推荐内容和联想词中边看边搜。",ACA-001,,B,supported_experience,"该论文的 25 名受访用户及其质性研究语境","有明确方法和四类行为模型，但样本小且不是平台全量行为数据","Skill 同时设计精确需求词、探索词、场景词和联想扩展，不把一种检索路径绝对化",2026-07-16,mechanism_evidence
CLM-POLICY-001,policy,"小红书官方「现场」主题活动明确禁止性暗示、低俗等内容。",OFF-002,,A,confirmed,"仅限该官方主题活动及页面列出的投稿规范","官方原文可核验；不能自动外推为全站所有场景的完整规则","作为风险下限参考并标注范围；运行时仍需核验全站社区与商业规则",2026-07-16,current_runtime
CLM-POLICY-002,policy,"成人用品不能作为一个整体判断准入：2026 专业号规则把生殖健康药物/用剂/私处紧致用品和性玩具列为禁入，同时注记情趣用品、计生用品按普通行业准入。","OFF-004;OFF-006",,A,confirmed,"专业号认证和商品入驻场景；具体 SKU 分类仍由平台认定","官方规则文字直接可核；商品入驻 PDF 另显示成人/情趣/计生类目，但不同规则面的名称不完全同义","Skill 必须先列 SKU、平台类目和经营链路，再分别核专业号、店铺、广告、商业笔记、自然内容；禁止用近义词自行规避分类",2026-07-16,current_runtime
CLM-POLICY-003,policy,"允许销售某成人用品不代表自然笔记可以不受限制地展示、描述或引流。","OFF-002;OFF-004;OFF-005;OFF-006",,B,supported_experience,"成人/情趣/计生用品的跨场景合规判断","这是由规则适用范围差异推出的审慎结论，并非某一条官方原句","Skill 设立范围隔离和实时规则复核；不得用入驻资质替代内容合规判断",2026-07-16,current_runtime
CLM-TECH-001,funnel,"推荐系统分析可以区分曝光、点击、读完/滑动到底和点赞收藏分享评论等阶段。",TECH-001,,B,hypothesis,"公开推荐系统课件的教学语境；时间与具体线上实现待核","课件搜索摘录可见漏斗，但完整页码和上下文尚未核验","核验后用于内容诊断框架；在此之前不写成当前平台官方指标口径",2026-07-16,mechanism_evidence
CLM-POLICY-004,policy,"官方商业笔记审核规则把 AI 批量创作、虚构故事恶意起号列为模板化养号问题。",OFF-005,,A,confirmed,"蒲公英商业合作笔记审核场景","官方帮助页直接列举；自然笔记的具体执行需另按社区规范判断","Skill 禁止把虚构内容伪装成真人投稿或真实经历；文学化内容须显著标注虚构/改编且不能作为虚假产品体验",2026-07-16,current_runtime
CLM-POLICY-005,policy,"社区规范禁止性暗示/性挑逗式描写、情色小说和以庸俗挑逗标题骗取点击。","OFF-007;OFF-005",,A,confirmed,"全站社区规范及商业合作审核场景","官方社区规范逐项列明；商业规则进一步把两性生活、性相关用品等低俗私密内容列为风险项","成人亲密关系内容必须保持教育、沟通、健康与关系议题表达；不生产露骨网文、擦边聊天记录或情色连载",2026-07-16,current_runtime
CLM-POLICY-006,policy,"社区规范禁止批量、高频、机器式发布以及制造虚假互动数据。",OFF-007,,A,confirmed,"全站社区规范","官方规范 4.4 明确列举非正常发布和刷量行为","Skill 只能辅助研究和单篇生产，不提供批量机器发布、刷量或规避审核流程",2026-07-16,current_runtime
